src,dst,count
userId_38235,userId_22330,5
userId_23280,userId_22330,6
userId_32779,userId_22330,1
userId_36035,userId_22330,1
userId_17969,userId_22330,1
userId_30909,userId_22330,1
userId_12015,userId_22330,20
userId_8431,userId_22330,1
userId_20489,userId_22330,1
userId_34968,userId_22330,1
userId_14955,userId_22330,2
userId_9484,userId_22330,1
userId_30843,userId_22330,7
userId_24783,userId_22330,9
userId_21029,userId_22330,1
userId_4681,userId_22330,1
userId_31249,userId_22330,1
userId_39417,userId_22330,2
userId_37925,userId_22330,4
userId_25756,userId_22330,9
userId_17868,userId_22330,2
userId_27580,userId_22330,1
userId_23649,userId_22330,1
userId_10155,userId_22330,2
userId_38417,userId_22330,1
userId_12355,userId_22330,1
userId_5688,userId_22330,2
userId_20767,userId_22330,1
userId_338,userId_22330,1
userId_32164,userId_22330,1
userId_19205,userId_22330,3
userId_4823,userId_22330,3
userId_15603,userId_22330,1
userId_18357,userId_22330,2
userId_16530,userId_22330,10
userId_22369,userId_22330,1
userId_15846,userId_22330,1
userId_2511,userId_22330,10
userId_13335,userId_22330,1
userId_12803,userId_22330,2
userId_37614,userId_22330,1
userId_17818,userId_22330,1
userId_2474,userId_22330,8
userId_13273,userId_22330,1
userId_15050,userId_22330,13
userId_7697,userId_22330,1
userId_7272,userId_22330,1
userId_1304,userId_22330,7
userId_6766,userId_22330,1
userId_37089,userId_22330,1
userId_25118,userId_22330,5
userId_3157,userId_22330,9
userId_1438,userId_22330,7
userId_21725,userId_22330,2
userId_8176,userId_22330,1
userId_39753,userId_22330,1
userId_18255,userId_22330,1
userId_37046,userId_22330,1
userId_6635,userId_22330,1
userId_11786,userId_22330,1
userId_35721,userId_22330,1
userId_32483,userId_22330,1
userId_28734,userId_22330,2
userId_10758,userId_22330,6
userId_2013,userId_22330,2
userId_128,userId_22330,1
userId_13587,userId_22330,1
userId_15564,userId_22330,1
userId_24369,userId_22330,6
userId_20821,userId_22330,1
userId_24914,userId_22330,1
userId_36747,userId_22330,18
userId_16594,userId_22330,3
userId_21583,userId_22330,1
userId_30574,userId_22330,2
userId_17842,userId_22330,10
userId_18633,userId_22330,10
